Closed Pattern                          Minimal Generator                       Support Count (%)   
{50 73 65 85 84 97 92 }                  {50 73 65 }                            60.74               
{21 73 61 85 84 97 92 }                  {21 73 61 }                            68.79               
{47 69 73 65 85 84 97 92 }               {47 69 73 65 }                         77.81               
{39 69 73 61 65 85 84 97 92 }            {39 69 73 61 65 }                      73.16               
{39 47 73 65 85 84 97 92 }               {39 47 73 65 }                         62.63               
{47 61 65 85 84 97 92 }                  {47 61 65 }                            80.82               
{47 69 73 61 85 84 97 92 }               {47 69 73 61 }                         77.68               
{69 73 85 84 97 92 }                     {69 73 }                               95.32               
{50 73 61 85 84 97 92 }                  {50 73 61 }                            60.36               
{21 69 73 61 85 84 97 92 }               {21 69 73 61 }                         67.42               
{39 47 73 61 85 84 97 92 }               {39 47 73 61 }                         62.48               
{39 47 69 73 61 85 84 97 92 }            {39 47 69 73 61 }                      60.8                
{39 77 85 84 97 92 69 73 }               {39 77 }                               66.86               
{47 85 84 97 92 }                        {47 }                                  82.43               
{77 61 85 84 97 92 73 69 }               {77 61 }                               85.35               
{77 65 85 84 97 92 73 69 }               {77 65 }                               85.48               
{69 73 61 65 85 84 97 92 }               {69 61 73 65 }                         93.38               
{21 61 65 85 84 97 92 }                  {21 61 65 }                            69.9                
{21 73 65 85 84 97 92 }                  {21 73 65 }                            69.02               
{73 61 65 85 84 97 92 }                  {73 61 65 }                            95.45               
{21 69 85 84 97 92 }                     {21 69 }                               68.89               
{47 69 65 85 84 97 92 }                  {47 69 65 }                            78.67               
{39 77 65 85 84 97 92 69 73 }            {39 77 65 }                            66.23               
{47 69 61 85 84 97 92 }                  {47 69 61 }                            78.53               
{39 77 61 85 84 97 92 69 73 }            {39 77 61 }                            66.07               
{21 65 85 84 97 92 }                     {21 65 }                               70.71               
{21 85 84 97 92 }                        {21 }                                  71.28               
{39 85 84 97 92 }                        {39 }                                  79.12               
{50 85 84 97 92 }                        {50 }                                  63.47               
{39 69 73 85 84 97 92 }                  {39 69 73 }                            74.67               
{21 73 61 65 85 84 97 92 }               {21 73 61 65 }                         68.23               
{47 77 61 65 85 84 97 92 69 73 }         {47 77 61 65 }                         69.68               
{85 84 97 92 }                                                                  100                 
{21 61 85 84 97 92 }                     {21 61 }                               70.47               
{47 77 65 85 84 97 92 69 73 }            {47 77 65 }                            70.46               
{21 73 85 84 97 92 }                     {21 73 }                               69.59               
{69 61 85 84 97 92 }                     {69 61 }                               95.23               
{69 65 85 84 97 92 }                     {69 65 }                               95.46               
{21 69 73 65 85 84 97 92 }               {21 69 73 65 }                         67.63               
{47 77 61 85 84 97 92 69 73 }            {47 77 61 }                            70.39               
{21 69 61 65 85 84 97 92 }               {21 69 61 65 }                         67.54               
{47 69 73 85 84 97 92 }                  {47 69 73 }                            78.53               
{39 47 69 85 84 97 92 }                  {39 47 69 }                            62.28               
{21 77 61 85 84 97 92 69 73 }            {21 77 61 }                            60.93               
{39 73 85 84 97 92 }                     {39 73 }                               76.66               
{39 47 65 85 84 97 92 }                  {39 47 65 }                            64.66               
{21 77 65 85 84 97 92 69 73 }            {21 77 65 }                            61.09               
