Objective function Value:   10.999


Closed EmergingPatterns                           GrowthRate                    Support in C1                 Support in C2                 
[50, 73, 65, 85, 84, 97, 92]                      6.0                           3358                          21658                         
[47, 69, 73, 65, 85, 84, 97, 92]                  9.0                           2986                          29063                         
[39, 69, 73, 61, 65, 85, 84, 97, 92]              9.0                           2960                          27173                         
[39, 47, 73, 65, 85, 84, 97, 92]                  7.0                           3059                          22739                         
[47, 61, 65, 85, 84, 97, 92]                      8.0                           3612                          29678                         
[47, 69, 73, 61, 85, 84, 97, 92]                  10.0                          2769                          29227                         
[69, 73, 85, 84, 97, 92]                          9.0                           3593                          35666                         
[50, 73, 61, 85, 84, 97, 92]                      6.0                           3167                          21696                         
[21, 69, 73, 61, 85, 84, 97, 92]                  10.0                          2317                          25454                         
[39, 47, 73, 61, 85, 84, 97, 92]                  7.0                           2886                          22847                         
[39, 47, 69, 73, 61, 85, 84, 97, 92]              9.0                           2472                          22572                         
[39, 77, 85, 84, 97, 92, 69, 73]                  8.0                           2759                          24780                         
[47, 85, 84, 97, 92]                              7.0                           3851                          30099                         
[77, 61, 85, 84, 97, 92, 73, 69]                  11.0                          2883                          32269                         
[77, 65, 85, 84, 97, 92, 73, 69]                  10.0                          3137                          32072                         
[69, 73, 61, 65, 85, 84, 97, 92]                  10.0                          3313                          35148                         
[21, 61, 65, 85, 84, 97, 92]                      8.0                           2969                          25821                         
[21, 73, 65, 85, 84, 97, 92]                      8.0                           2847                          25580                         
[73, 61, 65, 85, 84, 97, 92]                      9.0                           3821                          35495                         
[21, 69, 85, 84, 97, 92]                          10.0                          2569                          25805                         
[47, 69, 65, 85, 84, 97, 92]                      9.0                           3057                          29347                         
[39, 77, 65, 85, 84, 97, 92, 69, 73]              8.0                           2754                          24523                         
[47, 69, 61, 85, 84, 97, 92]                      10.0                          2837                          29510                         
[39, 77, 61, 85, 84, 97, 92, 69, 73]              9.0                           2558                          24655                         
[21, 65, 85, 84, 97, 92]                          8.0                           3179                          25943                         
[21, 85, 84, 97, 92]                              8.0                           3182                          26175                         
[39, 85, 84, 97, 92]                              6.0                           4198                          28390                         
[50, 85, 84, 97, 92]                              5.0                           3853                          22291                         
[39, 69, 73, 85, 84, 97, 92]                      8.0                           3182                          27571                         
[21, 73, 61, 65, 85, 84, 97, 92]                  9.0                           2641                          25460                         
[47, 77, 61, 65, 85, 84, 97, 92, 69, 73]          10.0                          2400                          26301                         
[85, 84, 97, 92]                                  7.0                           4641                          36547                         
[21, 61, 85, 84, 97, 92]                          8.0                           2972                          26052                         
[47, 77, 65, 85, 84, 97, 92, 69, 73]              10.0                          2606                          26416                         
[21, 73, 85, 84, 97, 92]                          9.0                           2850                          25812                         
[69, 61, 85, 84, 97, 92]                          10.0                          3395                          35829                         
[69, 65, 85, 84, 97, 92]                          9.0                           3669                          35649                         
[21, 69, 73, 65, 85, 84, 97, 92]                  10.0                          2515                          25342                         
[47, 77, 61, 85, 84, 97, 92, 69, 73]              11.0                          2404                          26590                         
[21, 69, 61, 65, 85, 84, 97, 92]                  10.0                          2363                          25454                         
[47, 69, 73, 85, 84, 97, 92]                      9.0                           2991                          29353                         
[39, 47, 69, 85, 84, 97, 92]                      8.0                           2713                          22937                         
[21, 77, 61, 85, 84, 97, 92, 69, 73]              11.0                          2033                          23063                         
[39, 73, 85, 84, 97, 92]                          7.0                           3681                          27895                         
[39, 47, 65, 85, 84, 97, 92]                      6.0                           3474                          23158                         
[21, 77, 65, 85, 84, 97, 92, 69, 73]              10.0                          2221                          22940                         
[39, 47, 69, 73, 61, 65, 85, 84, 97, 92]          9.0                           2468                          22360                         
[39, 73, 61, 65, 85, 84, 97, 92]                  7.0                           3453                          27496                         
[39, 65, 85, 84, 97, 92]                          6.0                           4193                          28132                         
[21, 69, 65, 85, 84, 97, 92]                      9.0                           2566                          25573                         
[39, 61, 85, 84, 97, 92]                          7.0                           3971                          28246                         
[50, 61, 85, 84, 97, 92]                          6.0                           3657                          22182                         
[21, 77, 85, 84, 97, 92, 69, 73]                  10.0                          2224                          23172                         
[39, 47, 61, 85, 84, 97, 92]                      7.0                           3298                          23263                         
[39, 69, 85, 84, 97, 92]                          8.0                           3261                          27876                         
[50, 69, 85, 84, 97, 92]                          7.0                           2957                          21785                         
[61, 65, 85, 84, 97, 92]                          8.0                           4348                          36024                         
[50, 73, 85, 84, 97, 92]                          6.0                           3359                          21803                         
[39, 47, 69, 65, 85, 84, 97, 92]                  8.0                           2708                          22725                         
[39, 61, 65, 85, 84, 97, 92]                      7.0                           3967                          27988                         
[21, 69, 61, 85, 84, 97, 92]                      10.0                          2366                          25685                         
[39, 47, 73, 85, 84, 97, 92]                      7.0                           3064                          22951                         
[47, 77, 85, 84, 97, 92, 69, 73]                  10.0                          2611                          26705                         
[47, 65, 85, 84, 97, 92]                          7.0                           3846                          29809                         
[47, 69, 85, 84, 97, 92]                          9.0                           3062                          29637                         
[73, 61, 85, 84, 97, 92]                          9.0                           3825                          35844                         
[21, 69, 73, 85, 84, 97, 92]                      10.0                          2518                          25574                         
[39, 47, 69, 73, 85, 84, 97, 92]                  8.0                           2644                          22675                         
[39, 77, 61, 65, 85, 84, 97, 92, 69, 73]          9.0                           2554                          24398                         
[30, 85, 84, 97, 92]                              8.0                           2532                          22396                         
[39, 47, 69, 61, 85, 84, 97, 92]                  8.0                           2539                          22833                         
[39, 69, 61, 85, 84, 97, 92]                      9.0                           3041                          27735                         
[69, 73, 65, 85, 84, 97, 92]                      9.0                           3588                          35316                         
[39, 69, 65, 85, 84, 97, 92]                      8.0                           3256                          27618                         
[50, 65, 85, 84, 97, 92]                          5.0                           3852                          22146                         
[47, 61, 85, 84, 97, 92]                          8.0                           3616                          29968                         
[69, 73, 61, 85, 84, 97, 92]                      10.0                          3317                          35497                         
[47, 73, 61, 85, 84, 97, 92]                      9.0                           3193                          29522                         
[47, 73, 61, 65, 85, 84, 97, 92]                  9.0                           3189                          29232                         
[73, 85, 84, 97, 92]                              8.0                           4109                          36015                         
[50, 61, 65, 85, 84, 97, 92]                      6.0                           3657                          22037                         
[39, 69, 73, 65, 85, 84, 97, 92]                  8.0                           3177                          27313                         
[39, 69, 73, 61, 85, 84, 97, 92]                  9.0                           2964                          27431                         
[47, 73, 85, 84, 97, 92]                          8.0                           3423                          29650                         
[39, 47, 61, 65, 85, 84, 97, 92]                  6.0                           3294                          23051                         
[50, 73, 61, 65, 85, 84, 97, 92]                  6.0                           3167                          21551                         
[21, 77, 61, 65, 85, 84, 97, 92, 69, 73]          11.0                          2030                          22832                         
[69, 61, 65, 85, 84, 97, 92]                      10.0                          3391                          35480                         
[39, 47, 85, 84, 97, 92]                          6.0                           3479                          23370                         
[39, 73, 65, 85, 84, 97, 92]                      7.0                           3676                          27637                         
[73, 65, 85, 84, 97, 92]                          8.0                           4104                          35665                         
[39, 47, 73, 61, 65, 85, 84, 97, 92]              7.0                           2882                          22635                         
[77, 85, 84, 97, 92, 73, 69]                      10.0                          3142                          32421                         
[21, 69, 73, 61, 65, 85, 84, 97, 92]              10.0                          2314                          25223                         
[47, 69, 73, 61, 65, 85, 84, 97, 92]              10.0                          2765                          28937                         
[69, 85, 84, 97, 92]                              9.0                           3674                          35999                         
[39, 47, 69, 73, 65, 85, 84, 97, 92]              8.0                           2639                          22463                         
[77, 61, 65, 85, 84, 97, 92, 73, 69]              11.0                          2879                          31921                         
[65, 85, 84, 97, 92]                              7.0                           4636                          36197                         
[39, 47, 69, 61, 65, 85, 84, 97, 92]              8.0                           2535                          22621                         
[39, 73, 61, 85, 84, 97, 92]                      8.0                           3457                          27754                         
[39, 69, 61, 65, 85, 84, 97, 92]                  9.0                           3037                          27477                         
[47, 73, 65, 85, 84, 97, 92]                      8.0                           3418                          29360                         
[61, 85, 84, 97, 92]                              8.0                           4352                          36373                         
[47, 69, 61, 65, 85, 84, 97, 92]                  10.0                          2833                          29220                         
[21, 73, 61, 85, 84, 97, 92]                      9.0                           2644                          25691                         
